,T1,GMR_scaled_acc_1_1
0,0.0,0.8602585104000002
1,0.01,0.8648924783934111
2,0.02,0.8856516373690605
3,0.03,0.9277185421715897
4,0.04,1.0328471938030181
5,0.05,1.031888884892879
6,0.06,1.4856573010274072
7,0.07,1.3715080802980875
8,0.08,1.5284154875746836
9,0.09,2.2544923459891653
10,0.1,3.384253728235185
11,0.11,3.5288150349382734
12,0.12,3.779264273379152
13,0.13,3.6458742101754344
14,0.14,3.2012572797413004
15,0.15,3.0149801320895526
16,0.16,3.42270916210402
17,0.17,3.138933685719716
18,0.18,2.797611225850723
19,0.19,2.046226124608631
20,0.2,2.1046482378361118
21,0.21,2.1924390787736847
22,0.22,2.3780328977970333
23,0.23,2.1079977873963514
24,0.24,1.7580205043754689
25,0.25,1.6701292690587168
26,0.26,1.772549057895628
27,0.27,1.6519428449868365
28,0.28,1.6564299109596428
29,0.29,1.6108399605699055
30,0.3,1.5295745394454898
31,0.31,1.6257951494366831
32,0.32,1.7288778718552473
33,0.33,1.7365077079620064
34,0.34,1.5840128740195891
35,0.35000000000000003,1.4982007156440622
36,0.36,1.3566928072657385
37,0.37,1.2964413374551844
38,0.38,1.2953731547837952
39,0.39,1.4194655126653397
40,0.4,1.423607568111194
41,0.41000000000000003,1.454978133738461
42,0.42,1.5864670088720705
43,0.43,1.762504593009536
44,0.44,1.9766212862493173
45,0.45,2.1376862200553464
46,0.46,2.183647954061961
47,0.47000000000000003,2.1113683177849785
48,0.48,2.0127601894025684
49,0.49,1.9075288718536463
50,0.5,1.7672863154250023
51,0.51,1.6677087545889484
52,0.52,1.5881821508567282
53,0.53,1.5358158013418826
54,0.54,1.5077976873508017
55,0.55,1.4978312601890085
56,0.56,1.47575679647729
57,0.5700000000000001,1.3766366612193084
58,0.58,1.2822459779580098
59,0.59,1.3512967479316194
60,0.6,1.4461592564845802
61,0.61,1.5423918381366297
62,0.62,1.6242573658483093
63,0.63,1.6828904005553111
64,0.64,1.6944909801949348
65,0.65,1.697895884341688
66,0.66,1.6696981282641385
67,0.67,1.6282746141328164
68,0.68,1.5153117166158414
69,0.6900000000000001,1.3544070498772354
70,0.7000000000000001,1.1759506113405944
71,0.71,1.0356267045535013
72,0.72,0.9410435276049867
73,0.73,0.9003820338548494
74,0.74,0.9020140570651327
75,0.75,0.927645215597398
76,0.76,0.9518626236413575
77,0.77,0.9619029144826001
78,0.78,0.948623539826061
79,0.79,0.9128130714604956
80,0.8,0.8825021700876929
81,0.81,0.8456975090079007
82,0.8200000000000001,0.8112818357640608
83,0.8300000000000001,0.7881958503204287
84,0.84,0.7896927177145481
85,0.85,0.8116098305476824
86,0.86,0.8376467752909654
87,0.87,0.8755232852509929
88,0.88,0.8994661306434232
89,0.89,0.9073702259177432
90,0.9,0.9107610793005768
91,0.91,0.9139313239059947
92,0.92,0.9128947840155399
93,0.93,0.9115075721352545
94,0.9400000000000001,0.9106565067985777
95,0.9500000000000001,0.9110867635280546
96,0.96,0.914962926484028
97,0.97,0.9195972340406534
98,0.98,0.9244828227133087
99,0.99,0.929691569026791
100,1.0,0.9365999758372847
101,1.01,0.9441595524422504
102,1.02,0.9468452982015436
103,1.03,0.9436792428837537
104,1.04,0.9342871942052777
105,1.05,0.9127234019092104
106,1.06,0.886618066367872
107,1.07,0.8520663666175321
108,1.08,0.8122142280663371
109,1.09,0.7709098059782804
110,1.1,0.7274436472311603
111,1.11,0.6842690058326195
112,1.12,0.6439196458607326
113,1.1300000000000001,0.6052144752975175
114,1.1400000000000001,0.5680299805662986
115,1.1500000000000001,0.5430671793317061
116,1.16,0.5249680306980813
117,1.17,0.5074487630731024
118,1.18,0.49083481333201784
119,1.19,0.4780038240229364
120,1.2,0.4699095758653615
121,1.21,0.4725320709605624
122,1.22,0.47013236953033316
123,1.23,0.46393360390754634
124,1.24,0.4550485964318587
125,1.25,0.4655647344377654
126,1.26,0.48335407668198965
127,1.27,0.49964247948635815
128,1.28,0.513177868559755
129,1.29,0.5232061689928984
130,1.3,0.5268055391876968
131,1.31,0.5253186828339189
132,1.32,0.517569348243036
133,1.33,0.5036133031862526
134,1.34,0.5035669111033275
135,1.35,0.5021345811725993
136,1.36,0.49770318425504584
137,1.37,0.4900073219048273
138,1.3800000000000001,0.47918789604127787
139,1.3900000000000001,0.46621985773761365
140,1.4000000000000001,0.4519499884031082
141,1.41,0.4437237877190059
142,1.42,0.4414400295607759
143,1.43,0.4538554782550135
144,1.44,0.4705572566391242
145,1.45,0.48330345543580827
146,1.46,0.49163896018083975
147,1.47,0.4971021851967822
148,1.48,0.49836200570764594
149,1.49,0.4978257554446099
150,1.5,0.49478806500172984
151,1.51,0.4917762497229327
152,1.52,0.4875704690994904
153,1.53,0.48380885385047623
154,1.54,0.47919312849911194
155,1.55,0.49045760821922735
156,1.56,0.49835893250381075
157,1.57,0.5026640209694085
158,1.58,0.5035768470209467
159,1.59,0.5011091773359222
160,1.6,0.496050634523068
161,1.61,0.5070858207964668
162,1.62,0.5212007196548002
163,1.6300000000000001,0.5314028155509326
164,1.6400000000000001,0.5376034727229402
165,1.6500000000000001,0.5399310593344928
166,1.6600000000000001,0.5386608886176054
167,1.67,0.5341400861197282
168,1.68,0.529698030169002
169,1.69,0.5264672003434714
170,1.7,0.5210450773914628
171,1.71,0.512737155724843
172,1.72,0.5014449061119823
173,1.73,0.4930408820762626
174,1.74,0.48506268262752605
175,1.75,0.4744046231778961
176,1.76,0.46241809123822003
177,1.77,0.4483561118340774
178,1.78,0.4332568346489736
179,1.79,0.43264143068953875
