1-ImperialValley-02.dat,2-Chi-ChiTaiwan-06.dat,3-Northridge-01.dat,4-Chi-ChiTaiwan-04.dat,5-SuperstitionHills-02.dat,6-Coalinga-01.dat,7-Northridge-01.dat,8-SuperstitionHills-02.dat,9-ImperialValley-06.dat,10-ImperialValley-06.dat,11-ImperialValley-06.dat,12-Northridge-01.dat,13-Northridge-01.dat,14-Northridge-01.dat,15-Chi-ChiTaiwan.dat,16-Northridge-01.dat,17-Landers.dat,18-LomaPrieta.dat,19-SuperstitionHills-02.dat,20-HectorMine.dat,21-Northridge-01.dat,22-Chi-ChiTaiwan.dat,23-KernCounty.dat,24-ImperialValley-02.dat,25-LomaPrieta.dat,26-KobeJapan.dat,27-MorganHill.dat,28-TaiwanSMART1(40).dat,29-ImperialValley-06.dat,30-LomaPrieta.dat,31-LomaPrieta.dat,32-Northridge-01.dat,33-LomaPrieta.dat,34-Chi-ChiTaiwan.dat,35-Northridge-01.dat,36-Landers.dat,37-LomaPrieta.dat,38-KernCounty.dat,39-IrpiniaItaly-02.dat,40-Coalinga-01.dat
0.5139766294047579,0.41492787637588335,0.33208776001632845,0.32566888993321413,0.2873476030051641,0.2813250191305002,0.3469680523045361,0.504464214697,0.22784401510823482,0.3400166403247362,0.4691278631414894,0.39970749966795893,0.41665836460381717,0.35910346347181554,0.36125257848974673,0.25695584834936164,0.3474513285951425,0.20474625988031092,0.4433399216732514,0.28063593911878865,0.3716159141748074,0.2896042397561371,0.2948898583444872,0.34016904739695175,0.3267237771124374,0.49054942406422886,0.25273279140512184,0.3691641498937457,0.37364427657407423,0.312382838441974,0.3425848851102463,0.3512655820404595,0.27836463788403676,0.41650661443486875,0.43394885858177573,0.2962851325961579,0.35735092522622647,0.27675029434112997,0.4061041679981435,0.31947049992900695
0.5082791067133646,0.415231500396257,0.3258928170507131,0.3244490827524304,0.2799302218700811,0.2796471424348103,0.3403573516900768,0.5015265703373164,0.23110189793639851,0.3356891061620142,0.4467830514072839,0.39010864274419343,0.40999452251747964,0.3576277728113517,0.3635283056938458,0.2526284808707927,0.3351006851406958,0.2035433660777184,0.44079970442810823,0.2810450506395933,0.37630688885531516,0.2814381149432801,0.29330407804495295,0.3327727972670722,0.32323363864023924,0.4837927346829092,0.24566225946003423,0.364720160004286,0.3707502185945146,0.3128487435105316,0.34278990439721574,0.3396248613662523,0.2792020917289498,0.41125288219883427,0.4308469145409648,0.2870523441602251,0.35021500629711205,0.26751369136146613,0.3940270233318486,0.3046357317996681
0.4979880237531763,0.4153476016743906,0.3195839186549527,0.3232716015478365,0.27379361215072556,0.2777704359768144,0.33193947526573003,0.49740265798664757,0.23256753679470005,0.3314061963138761,0.4198505482662007,0.38084496396999334,0.40467656497309157,0.35467876751272875,0.3655804828986834,0.24866555164095402,0.3227249631980983,0.20718151875609034,0.43787486229311673,0.28350382049024875,0.38070691813499047,0.28043365099383455,0.29855609178231146,0.32507440939503596,0.3187320414015082,0.4766061710777766,0.23850437774829986,0.36048767892116473,0.3679418980025401,0.31283257792290836,0.3425434686620618,0.32824510693645365,0.2803074181120975,0.4061406772024586,0.426753027254992,0.2965197177139242,0.3428927043448241,0.25789204256784043,0.3825158583273897,0.2929748364799766
0.4841828633519477,0.4153279377768689,0.3134460163157738,0.3220442103163599,0.26865439075837444,0.275958489337582,0.32117994668907784,0.492257195708044,0.23249322679313134,0.32717974823826457,0.38946133161540186,0.3719386912291147,0.40293779990717316,0.3497519439764826,0.36736015288891816,0.24494223823621045,0.3117654641365809,0.2104499196028041,0.4343634918629392,0.28743556768167294,0.3846703653087985,0.27670896722828814,0.3023409274783751,0.31696074357433895,0.30988553190649576,0.46737652555710757,0.23128658837011662,0.35630077402578875,0.3652283893740956,0.31233357127202727,0.34165698544954504,0.31695261187605334,0.2809316564512293,0.4012126238498413,0.4212080719984546,0.30661802973795127,0.33536450917030336,0.24789878110285973,0.37183801690137375,0.2884910137438911
0.4678446633640945,0.4152153569751362,0.3131204199102585,0.3207569741063174,0.2642046994892999,0.27404745461581814,0.3083002506559648,0.4862539197061994,0.2313501098890002,0.3230343690814066,0.3571654048396508,0.36343302043405723,0.40158412338912197,0.3445759247341461,0.3687474761267103,0.2413900760897177,0.30284213018789025,0.2133339127537574,0.4307036828171351,0.2913026575275536,0.38808364688704367,0.2705466305014385,0.3046021922318042,0.30853657621181635,0.30528174633505345,0.45776552894979733,0.22402877243922012,0.352406469087572,0.36262158208248474,0.31055706123269405,0.3401501737798197,0.314797900041123,0.28117128495419064,0.3964473334819746,0.41411282505271174,0.3153393657765433,0.3276337697085527,0.2377092014699631,0.36216321512543853,0.2798496799803785
0.4501655898890297,0.4150334301122057,0.31401237185299796,0.31942736273347516,0.26019268030585724,0.2718938518335743,0.29324162218127575,0.47955235955476727,0.2295402459717354,0.3189399036779771,0.3246599084705826,0.3554260019578571,0.40042495265845107,0.3379248981375715,0.36958513136607707,0.23794858475028177,0.29656948908475894,0.21579443339928733,0.4264955567015078,0.29371193779301935,0.39084889191811345,0.26248043594983284,0.30529372534074345,0.2998736620557255,0.3033487234536323,0.4459951401585368,0.21674623206379431,0.3485936208895915,0.3601757326710782,0.30776631888483313,0.33788314976998785,0.3156191051525418,0.2809832127411822,0.3917276992445909,0.40557657021555044,0.3219725569474159,0.3197256654126975,0.23158240672880848,0.3535913279119024,0.267461303127157
0.4322140470426804,0.41477604083014863,0.3138657281065389,0.31804304444015474,0.25657710790659854,0.2697426757472013,0.2795159797411629,0.472402645945985,0.2273511576769536,0.31489725420408965,0.293802573812554,0.34795218304434455,0.399322086530106,0.33147510296205407,0.3695852854724185,0.23456570352905942,0.2934607894692977,0.2177553629684391,0.42229759140242873,0.295042840050247,0.39289080271677906,0.25314768619127936,0.3043955504431361,0.2910343187993521,0.3010240206698083,0.4321849607597385,0.20945333658158033,0.3446943689509335,0.3578553083143013,0.3049769334241132,0.33486214892876187,0.3142846739718102,0.2803758444226041,0.38692294954312006,0.39555538567416065,0.32538629731017094,0.3117035607836551,0.23703549436623148,0.34617537828248224,0.2537971928712941
0.4148642420571785,0.42043700277263063,0.31428085653873,0.3165712499446618,0.2576086951574045,0.2674257481719564,0.2690260194210528,0.4648484177837571,0.22485211579580602,0.3109070685703696,0.2679802075189967,0.3410203077028115,0.39908775088101933,0.33946073197894344,0.3685063168872172,0.23119751190619126,0.2936794585572262,0.21910076357744526,0.417658292391667,0.29367349457135306,0.3941673188142151,0.2431552201564711,0.30193830620614237,0.2820777710452703,0.2991251922024361,0.4170505543168608,0.20222680965992568,0.3409936532308534,0.35571569249565466,0.3009079640462482,0.3311508334544017,0.31088572499592465,0.27938445863543976,0.38200503753497733,0.38391117654088724,0.32589838238065755,0.30360940872518477,0.24341807389335937,0.3399808213273822,0.25107745067806664
0.3987548996534691,0.42826708382374407,0.3138999031647652,0.31500908532201705,0.26535979595867826,0.26479766733361815,0.26630737395387105,0.4570134852034031,0.22197838734659875,0.3069702049022914,0.2667827854839096,0.3347467025739239,0.39857244303031614,0.34697731770850565,0.3690984451300492,0.22786805234109808,0.29725533417201916,0.21969047228650215,0.41309655102285087,0.29059039613536003,0.39467224169303716,0.23313123373575706,0.29833783582588547,0.2730628693943243,0.2971221591800372,0.4004895091193259,0.19502137823581164,0.33715507972888425,0.3537407642591139,0.29559881672332117,0.32715944789796153,0.30527733497804027,0.27808934978573896,0.37682683339105705,0.3715991578576489,0.32409213426601924,0.29546860496556654,0.24841158949912065,0.33507912124277534,0.248009443402529
0.38426595110580025,0.43482518539938425,0.31166979714278203,0.3133526179828711,0.2711616875179823,0.2622178050576435,0.26338048648513623,0.44901000971752986,0.21866232629579943,0.30308775529721893,0.2633395869224012,0.329076964416628,0.39763204478466346,0.3521872503418117,0.3673898329160601,0.22463935118747944,0.3037872355498462,0.2193985997450898,0.4082711267554679,0.28552052926958305,0.39441690978248767,0.22361671572297298,0.29329553285881876,0.2640659848987673,0.29591862625752857,0.3832930151510632,0.18785071480212498,0.3331291634291973,0.35195856414055054,0.2899248319781311,0.3260566272417452,0.29755644080289684,0.27649533919655794,0.37130931787556826,0.35928054650492225,0.31921839392919127,0.287335357436117,0.25204996204690133,0.3315288869131903,0.24450426699291358
